name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Reanimated Bikes	Westbahnstraße 35, 1070 Wien	https://www.reanimated-bikes.eu/			Yes	2017-06-24	49		https://web.archive.org/web/20170624170459/http://reanimated-bikes.com/fahrrad-reparatur-und-service/	2025-07-23	89	https://reanimated-bikes.com/fahrradservice/	48.201604	16.3411312
Radstube	Toldgasse 2/6, 1150 Wien	https://radstube.at/			Yes	2025-07-25	150		https://web.archive.org/web/20250725014810/https://radstube.at/preisliste	2025-07-25	150	https://radstube.at/preisliste	48.2011789	16.316342
Die kleine Fahrradwerkstatt	Yppenplatz 6, 1160 Wien	http://www.fahrradwerk.at			No prices online	2018-04-05			https://web.archive.org/web/20180405232307/http://fahrradwerk.at/#service	2025-07-23		https://fahrradwerk.at/fahrradwerkstatt/	48.2130049	16.3356468
Radwerkstatt	Hasnerstraße 6, 1160 Wien	https://www.radwerkstatt.at/			Yes	2021-05-30	76		https://web.archive.org/web/20210530170135/https://www.radwerkstatt.at/fahrrad-service	2025-07-23	110	https://www.radwerkstatt.at/fahrrad-service	48.2076477	16.3364959
fahrrad.selbsthilfe.werkstatt im WUK	Severingasse 12, 1090 Wien	https://fahrrad.wuk.at/			Non-commercial								48.2227763	16.3507275
Sator Bike Shop	Böcklinstraße 104, 1020 Wien	http://www.sator-bike.at/			Yes	2018-08-11	69		https://web.archive.org/web/20180811032658/http://www.fahrrad-wien.co.at/index.php/preisliste-sator-bike-fahrrad-wien-bicycle-focus-kalkhoff	2025-07-23	100	http://www.fahrrad-wien.co.at/index.php/preisliste-sator-bike-fahrrad-wien-bicycle-focus-kalkhoff	48.2031793	16.4038379
ig-fahrrad	Westbahnstraße 28, 1070 Wien	https://www.ig-fahrrad.at/			Yes	2019-02-27	75		https://web.archive.org/web/20190227074347/http://ig-fahrrad.at/service-reparaturen	2025-07-23	110	https://www.ig-fahrrad.at/fahrradservice/	48.202111	16.3443145
Thomas De Meza Fahrradmechaniker	Semperstraße 35, 1180 Wien	https://demeza.bike			Yes	2021-06-21	39		https://web.archive.org/web/20210621055807/https://demeza.bike/?Leistungen	2025-07-23	49	https://demeza.bike/?Leistungen	48.2273613	16.3484718
Stadtradler	Frankenberggasse 2-4, 1040 Wien	https://www.stadtradler.at/			Yes	2016-05-21	16		https://web.archive.org/web/20160521112746/http://www.stadtradler.at/repairs.html	2025-07-23	20	https://www.stadtradler.at/repairs.html	48.1973044	16.3698333
Klemens Schachinger (Wolfgang Brunner)	Degengasse 37, 1160 Wien				No website								48.2151815	16.3154707
Mistelbiker	Florianigasse 54, 1080 Wien	http://www.mistelbiker.at/			Yes	2017-06-18	55		https://web.archive.org/web/20170618180605/http://www.mistelbiker.at/service.htm	2025-07-23	95	https://www.mistelbiker.at/service.htm	48.2121953	16.3444096
2rad-shop Gerhardt	Langobardenstraße 19, 1220 Wien	https://www.2rad-shop.at/			Additional Location								48.2249613	16.4542392
